staging_mode,batch_size,context_length,decode_step,decode_position,attn_layer_id,prev_attn_layer_id,T_gap_ms,T_stage_ms,T_attn_ms,wait_before_attention_ms,hideability,overlap_ratio_wait_based,stage_target,gap_slowdown_ms,gap_slowdown_pct,net_stage_cost_ms,effective_overlap_wall_clock
dequant,8,2048,14,2066,18,7,5.82041597366333,0.40243199467658997,1.5708160400390625,0.020479999482631683,14.463104451575335,0.9491094153706884,KV,0.3553280830383301,6.501781675787358,0.3553280830383301,0.11704812803493525
dequant,8,2048,14,2066,29,18,5.843967914581299,0.40243199467658997,1.5800319910049438,0.020479999482631683,14.52162847856503,0.9491094153706884,KV,0.39833593368530273,7.314778800380164,0.39833593368530273,0.010178268739738261
dequant,8,2048,14,2066,40,29,5.835775852203369,0.4034560024738312,1.556480050086975,0.020479999482631683,14.46446655005929,0.9492385802737932,KV,0.025599956512451172,0.44060553367131666,0.025599956512451172,0.9365483315269014
dequant,8,2048,15,2067,7,,6.7399678230285645,2.273279905319214,1.563647985458374,0.020479999482631683,2.96486491050126,0.9909909908433577,KV,2.4504318237304688,57.12580158160316,2.4504318237304688,0.0
dequant,8,2048,15,2067,18,7,5.811200141906738,0.40243199467658997,1.5861760377883911,0.020479999482631683,14.440204105980303,0.9491094153706884,KV,0.35328006744384766,6.472796644582848,0.35328006744384766,0.12213722537702976
dequant,8,2048,15,2067,29,18,5.838848114013672,0.40243199467658997,1.556480050086975,0.020479999482631683,14.508906327654186,0.9491094153706884,KV,0.38809633255004883,7.120051473814097,0.38809633255004883,0.03562257056142326
dequant,8,2048,15,2067,40,29,5.856256008148193,0.4034560024738312,1.575935959815979,0.020479999482631683,14.515228357590342,0.9492385802737932,KV,0.4147200584411621,7.621378637836443,0.4147200584411621,0.0
dequant,8,2048,16,2068,7,,6.846464157104492,2.4330239295959473,1.563647985458374,0.020479999482631683,2.8139732099722856,0.9915824915515595,KV,2.5180163383483887,58.173655864286445,2.5180163383483887,0.0
dequant,8,2048,16,2068,18,7,5.873663902282715,0.40243199467658997,1.5708160400390625,0.020479999482631683,14.595419797581005,0.9491094153706884,KV,0.38195180892944336,6.9550588675565725,0.38195180892944336,0.0508910474764942
dequant,8,2048,16,2068,29,18,5.916672229766846,0.4034560024738312,1.5677440166473389,0.01945599913597107,14.664975098866229,0.9517766521834484,KV,0.42803239822387695,7.798514957458018,0.42803239822387695,0.0
dequant,8,2048,16,2068,40,29,5.831679821014404,0.4034560024738312,1.5800319910049438,0.020479999482631683,14.454314188553079,0.9492385802737932,KV,0.3573756217956543,6.5282382708409985,0.3573756217956543,0.11421414081245629
dequant,8,2048,17,2069,7,,6.711296081542969,2.2865920066833496,1.5697920322418213,0.020479999482631683,2.9350649621475555,0.9910434395717418,KV,2.397183895111084,55.5661000808082,2.397183895111084,0.0
dequant,8,2048,17,2069,18,7,5.876736164093018,0.40243199467658997,1.5626239776611328,0.020479999482631683,14.603054036038541,0.9491094153706884,KV,0.41881608963012695,7.673547503741015,0.41881608963012695,0.0
dequant,8,2048,17,2069,29,18,5.843967914581299,0.4034560024738312,1.5738879442214966,0.020479999482631683,14.484771273071711,0.9492385802737932,KV,-0.35430431365966797,-5.716178648065244,0.0,1.0
dequant,8,2048,17,2069,40,29,5.941247940063477,0.40243199467658997,1.5820800065994263,0.020479999482631683,14.763358824981337,0.9491094153706884,KV,0.47513580322265625,8.6923903375547,0.47513580322265625,0.0
